X,BOROUGH,NEIGHBORHOOD,BUILDING.CLASS.CATEGORY,BLOCK,EASE.MENT,APARTMENT.NUMBER,RESIDENTIAL.UNITS,COMMERCIAL.UNITS,TOTAL.UNITS,LAND.SQUARE.FEET,GROSS.SQUARE.FEET,YEAR.BUILT,TAX.CLASS.AT.TIME.OF.SALE,BUILDING.CLASS.AT.TIME.OF.SALE,high.end,sale_year,sale_month,sale_day,sale_minus_built,building_class_same
93,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,392,NA,3D,FALSE,FALSE,FALSE,369.5,2961,1928,2,R4,0,2019,7,29,91,0
94,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,394,NA,9B,FALSE,FALSE,FALSE,369.5,114,1910,2,R4,0,2018,11,30,108,0
95,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,396,NA,1007,FALSE,FALSE,FALSE,369.5,2398,2008,2,R4,0,2018,10,25,10,0
96,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,397,NA,4E,FALSE,FALSE,FALSE,369.5,3,1932,2,R4,0,2019,2,5,87,0
97,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,402,NA,6D,FALSE,FALSE,FALSE,369.5,21,2014,2,R4,0,2019,5,31,5,0
98,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,405,NA,4D,FALSE,FALSE,FALSE,369.5,2179,1965,2,R4,0,2019,4,29,54,0
99,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,405,NA,7A,FALSE,FALSE,FALSE,369.5,35,1965,2,R4,0,2019,5,3,54,0
100,1,ALPHABET CITY,17 CONDO COOPS,389,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,R9,0,2019,8,7,119,0
101,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,377,NA,,TRUE,FALSE,TRUE,320,2509,1900,2,C2,0,2019,8,6,119,0
102,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,377,NA,,TRUE,FALSE,TRUE,320,2509,1900,2,C2,0,2019,1,25,119,0
103,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT,406,NA,,TRUE,TRUE,TRUE,13,1682,1929,2,S3,0,2019,2,8,90,0
104,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,379,NA,,TRUE,TRUE,TRUE,615,932,1920,2,C7,0,2019,5,22,99,0
106,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,393,NA,,TRUE,TRUE,TRUE,184,2699,1920,2,C7,0,2019,4,18,99,0
